name,fiscal_year,total,month_name,month,fiscal_month,year,date
other_nontax,2021,856378.0,jun,6,12,2021,2021-06-01
total_revenue,2021,42326765.0,jun,6,12,2021,2021-06-01
school_income,2021,5963539.0,jun,6,12,2021,2021-06-01
real_estate,2021,13759232.0,jun,6,12,2021,2021-06-01
real_estate,2021,20173963.0,may,5,11,2021,2021-05-01
school_income,2021,32508434.0,may,5,11,2021,2021-05-01
use_and_occupancy,2021,14245564.0,may,5,11,2021,2021-05-01
liquor,2021,3886131.0,may,5,11,2021,2021-05-01
other_nontax,2021,39669.0,may,5,11,2021,2021-05-01
total_revenue,2021,70853761.0,may,5,11,2021,2021-05-01
real_estate,2021,142355756.0,apr,4,10,2021,2021-04-01
school_income,2021,9339160.0,apr,4,10,2021,2021-04-01
use_and_occupancy,2021,16654865.0,apr,4,10,2021,2021-04-01
other_nontax,2021,193549.0,apr,4,10,2021,2021-04-01
liquor,2021,3588649.0,apr,4,10,2021,2021-04-01
total_revenue,2021,172131980.0,apr,4,10,2021,2021-04-01
total_revenue,2021,543161631.0,mar,3,9,2021,2021-03-01
other_nontax,2021,3013006.0,mar,3,9,2021,2021-03-01
liquor,2021,2466620.0,mar,3,9,2021,2021-03-01
use_and_occupancy,2021,20135709.0,mar,3,9,2021,2021-03-01
school_income,2021,1322688.0,mar,3,9,2021,2021-03-01
real_estate,2021,516223608.0,mar,3,9,2021,2021-03-01
total_revenue,2021,88098453.0,feb,2,8,2021,2021-02-01
other_nontax,2021,23933.0,feb,2,8,2021,2021-02-01
liquor,2021,1692576.0,feb,2,8,2021,2021-02-01
use_and_occupancy,2021,10843063.0,feb,2,8,2021,2021-02-01
school_income,2021,311355.0,feb,2,8,2021,2021-02-01
real_estate,2021,75227526.0,feb,2,8,2021,2021-02-01
school_income,2021,436599.0,jan,1,7,2021,2021-01-01
use_and_occupancy,2021,19395530.0,jan,1,7,2021,2021-01-01
liquor,2021,1874302.0,jan,1,7,2021,2021-01-01
other_nontax,2021,2000.0,jan,1,7,2021,2021-01-01
total_revenue,2021,72526422.0,jan,1,7,2021,2021-01-01
real_estate,2021,50817991.0,jan,1,7,2021,2021-01-01
liquor,2021,2207352.0,dec,12,6,2020,2020-12-01
total_revenue,2021,48215176.0,dec,12,6,2020,2020-12-01
other_nontax,2021,45772.0,dec,12,6,2020,2020-12-01
real_estate,2021,30509964.0,dec,12,6,2020,2020-12-01
use_and_occupancy,2021,15288162.0,dec,12,6,2020,2020-12-01
school_income,2021,163926.0,dec,12,6,2020,2020-12-01
real_estate,2021,6474107.0,nov,11,5,2020,2020-11-01
school_income,2021,411149.0,nov,11,5,2020,2020-11-01
use_and_occupancy,2021,13206180.0,nov,11,5,2020,2020-11-01
liquor,2021,2673219.0,nov,11,5,2020,2020-11-01
