category,parent_category,year,fiscal_year,fiscal_quarter,variable,value,date
Total,,2020,2020,4,num_records,5213.0,2020-04-01
Apartments (88-1),Residential,2020,2020,4,total,1688367.0,2020-04-01
Apartments (88-1),Residential,2020,2020,4,num_records,36.0,2020-04-01
Unclassified,,2020,2020,4,num_records,75.0,2020-04-01
Industrial (88-4),Nonresidential,2020,2020,4,total,1395534.0,2020-04-01
Single/Multi-family Homes (01 thur 76),Residential,2020,2020,4,total,29250235.0,2020-04-01
Industrial (88-4),Nonresidential,2020,2020,4,num_records,29.0,2020-04-01
Total,,2020,2020,4,total,54831636.0,2020-04-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2020,2020,4,total,2684895.0,2020-04-01
Single/Multi-family Homes (01 thur 76),Residential,2020,2020,4,num_records,4489.0,2020-04-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2020,2020,4,total,12864307.0,2020-04-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2020,2020,4,num_records,8.0,2020-04-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2020,2020,4,num_records,143.0,2020-04-01
Industrial (88-4),Nonresidential,2020,2020,3,num_records,60.0,2020-01-01
General Commercial (88-2),Nonresidential,2020,2020,3,num_records,104.0,2020-01-01
Nonresidential,,2020,2020,3,total,35031707.0,2020-01-01
Industrial (88-4),Nonresidential,2020,2020,3,total,2583514.0,2020-01-01
Nonresidential,,2020,2020,3,num_records,503.0,2020-01-01
Condominiums (88-8),Residential,2020,2020,3,num_records,528.0,2020-01-01
Condominiums (88-8),Residential,2020,2020,3,total,6368954.0,2020-01-01
Unclassified,,2020,2020,3,total,0.0,2020-01-01
Total,,2020,2020,3,num_records,9269.0,2020-01-01
General Commercial (88-2),Nonresidential,2020,2020,3,total,3467965.0,2020-01-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2020,2020,3,total,28098969.0,2020-01-01
Single/Multi-family Homes (01 thur 76),Residential,2020,2020,3,num_records,7987.0,2020-01-01
Apartments (88-1),Residential,2020,2020,3,num_records,67.0,2020-01-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2020,2020,3,num_records,14.0,2020-01-01
Unclassified,,2020,2020,3,num_records,184.0,2020-01-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2020,2020,3,total,881260.0,2020-01-01
Total,,2020,2020,3,total,89356422.0,2020-01-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2020,2020,3,num_records,325.0,2020-01-01
Apartments (88-1),Residential,2020,2020,3,total,5723642.0,2020-01-01
Single/Multi-family Homes (01 thur 76),Residential,2020,2020,3,total,42232118.0,2020-01-01
Residential,,2020,2020,3,total,54324715.0,2020-01-01
Residential,,2020,2020,3,num_records,8582.0,2020-01-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2019,2020,2,total,4096734.0,2019-10-01
General Commercial (88-2),Nonresidential,2019,2020,2,total,3871589.0,2019-10-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2019,2020,2,num_records,332.0,2019-10-01
Unclassified,,2019,2020,2,total,0.0,2019-10-01
Apartments (88-1),Residential,2019,2020,2,num_records,95.0,2019-10-01
Industrial (88-4),Nonresidential,2019,2020,2,total,7114489.0,2019-10-01
Industrial (88-4),Nonresidential,2019,2020,2,num_records,91.0,2019-10-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2019,2020,2,total,8414271.0,2019-10-01
Apartments (88-1),Residential,2019,2020,2,total,7744374.0,2019-10-01
Residential,,2019,2020,2,num_records,9358.0,2019-10-01
Nonresidential,,2019,2020,2,total,23497083.0,2019-10-01
Condominiums (88-8),Residential,2019,2020,2,total,6343867.0,2019-10-01
Nonresidential,,2019,2020,2,num_records,568.0,2019-10-01
Residential,,2019,2020,2,total,57653970.0,2019-10-01
Single/Multi-family Homes (01 thur 76),Residential,2019,2020,2,num_records,8699.0,2019-10-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2019,2020,2,num_records,31.0,2019-10-01
Condominiums (88-8),Residential,2019,2020,2,num_records,564.0,2019-10-01
Total,,2019,2020,2,num_records,10096.0,2019-10-01
Single/Multi-family Homes (01 thur 76),Residential,2019,2020,2,total,43565728.0,2019-10-01
General Commercial (88-2),Nonresidential,2019,2020,2,num_records,114.0,2019-10-01
Unclassified,,2019,2020,2,num_records,170.0,2019-10-01
Total,,2019,2020,2,total,81151053.0,2019-10-01
Condominiums (88-8),Residential,2019,2020,1,total,8442940.0,2019-07-01
Condominiums (88-8),Residential,2019,2020,1,num_records,724.0,2019-07-01
Nonresidential,,2019,2020,1,num_records,553.0,2019-07-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2019,2020,1,num_records,338.0,2019-07-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2019,2020,1,total,5351900.0,2019-07-01
Industrial (88-4),Nonresidential,2019,2020,1,total,3430403.0,2019-07-01
Industrial (88-4),Nonresidential,2019,2020,1,num_records,87.0,2019-07-01
Unclassified,,2019,2020,1,num_records,156.0,2019-07-01
Unclassified,,2019,2020,1,total,4917.0,2019-07-01
Apartments (88-1),Residential,2019,2020,1,num_records,76.0,2019-07-01
Apartments (88-1),Residential,2019,2020,1,total,4556587.0,2019-07-01
Single/Multi-family Homes (01 thur 76),Residential,2019,2020,1,num_records,9625.0,2019-07-01
Single/Multi-family Homes (01 thur 76),Residential,2019,2020,1,total,49689684.0,2019-07-01
Residential,,2019,2020,1,total,62689211.0,2019-07-01
Residential,,2019,2020,1,num_records,10425.0,2019-07-01
General Commercial (88-2),Nonresidential,2019,2020,1,num_records,116.0,2019-07-01
General Commercial (88-2),Nonresidential,2019,2020,1,total,4247372.0,2019-07-01
Total,,2019,2020,1,total,91271559.0,2019-07-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2019,2020,1,num_records,12.0,2019-07-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2019,2020,1,total,15547755.0,2019-07-01
Nonresidential,,2019,2020,1,total,28577431.0,2019-07-01
Total,,2019,2020,1,num_records,11134.0,2019-07-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2019,2019,4,total,3358265.0,2019-04-01
Total,,2019,2019,4,num_records,10742.0,2019-04-01
Total,,2019,2019,4,total,102113046.0,2019-04-01
Industrial (88-4),Nonresidential,2019,2019,4,num_records,94.0,2019-04-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2019,2019,4,num_records,379.0,2019-04-01
Single/Multi-family Homes (01 thur 76),Residential,2019,2019,4,total,47431653.0,2019-04-01
Unclassified,,2019,2019,4,total,6064.0,2019-04-01
Apartments (88-1),Residential,2019,2019,4,num_records,78.0,2019-04-01
Apartments (88-1),Residential,2019,2019,4,total,13237504.0,2019-04-01
Single/Multi-family Homes (01 thur 76),Residential,2019,2019,4,num_records,9152.0,2019-04-01
Residential,,2019,2019,4,total,69160944.0,2019-04-01
Residential,,2019,2019,4,num_records,9922.0,2019-04-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2019,2019,4,num_records,30.0,2019-04-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2019,2019,4,total,18964991.0,2019-04-01
General Commercial (88-2),Nonresidential,2019,2019,4,num_records,148.0,2019-04-01
Industrial (88-4),Nonresidential,2019,2019,4,total,6249656.0,2019-04-01
Condominiums (88-8),Residential,2019,2019,4,total,8491787.0,2019-04-01
Condominiums (88-8),Residential,2019,2019,4,num_records,692.0,2019-04-01
General Commercial (88-2),Nonresidential,2019,2019,4,total,4373125.0,2019-04-01
Nonresidential,,2019,2019,4,total,32946038.0,2019-04-01
Nonresidential,,2019,2019,4,num_records,651.0,2019-04-01
Unclassified,,2019,2019,4,num_records,169.0,2019-04-01
Unclassified,,2019,2019,3,num_records,160.0,2019-01-01
Unclassified,,2019,2019,3,total,12456.0,2019-01-01
Nonresidential,,2019,2019,3,num_records,550.0,2019-01-01
Apartments (88-1),Residential,2019,2019,3,num_records,64.0,2019-01-01
Apartments (88-1),Residential,2019,2019,3,total,5054348.0,2019-01-01
Nonresidential,,2019,2019,3,total,13203074.0,2019-01-01
