name,fiscal_year,total,month_name,month,fiscal_month,year,date,kind
net_profits,2022,1675095.0,aug,8,2,2021,2021-08-01,Tax
net_profits_pica,2022,798561.0,aug,8,2,2021,2021-08-01,Tax
net_profits_city,2022,876534.0,aug,8,2,2021,2021-08-01,Tax
earnings,2022,948937.0,aug,8,2,2021,2021-08-01,Tax
earnings_pica,2022,336123.0,aug,8,2,2021,2021-08-01,Tax
earnings_city,2022,612813.0,aug,8,2,2021,2021-08-01,Tax
wage,2022,176182746.0,aug,8,2,2021,2021-08-01,Tax
wage_pica,2022,45638131.0,aug,8,2,2021,2021-08-01,Tax
wage_city,2022,130544615.0,aug,8,2,2021,2021-08-01,Tax
real_estate,2022,7510618.0,aug,8,2,2021,2021-08-01,Tax
all_taxes,2022,226268104.0,aug,8,2,2021,2021-08-01,Tax
wage_city,2022,92105156.0,jul,7,1,2021,2021-07-01,Tax
earnings_pica,2022,348321.0,jul,7,1,2021,2021-07-01,Tax
earnings_city,2022,633438.0,jul,7,1,2021,2021-07-01,Tax
wage,2022,128203187.0,jul,7,1,2021,2021-07-01,Tax
wage_pica,2022,36098031.0,jul,7,1,2021,2021-07-01,Tax
amusement,2022,976200.0,jul,7,1,2021,2021-07-01,Tax
real_estate,2022,7198308.0,jul,7,1,2021,2021-07-01,Tax
outdoor_ads,2022,270980.0,jul,7,1,2021,2021-07-01,Tax
other_taxes,2022,0.0,jul,7,1,2021,2021-07-01,Tax
all_taxes,2022,171142741.0,jul,7,1,2021,2021-07-01,Tax
net_profits_city,2022,823424.0,jul,7,1,2021,2021-07-01,Tax
earnings,2022,981759.0,jul,7,1,2021,2021-07-01,Tax
valet,2022,120312.0,jul,7,1,2021,2021-07-01,Tax
net_profits_pica,2022,744800.0,jul,7,1,2021,2021-07-01,Tax
net_profits,2022,1568224.0,jul,7,1,2021,2021-07-01,Tax
wage_earnings_net_profits,2022,130753170.0,jul,7,1,2021,2021-07-01,Tax
wage_earnings_net_profits_pica,2022,37191152.0,jul,7,1,2021,2021-07-01,Tax
wage_earnings_net_profits_city,2022,93562018.0,jul,7,1,2021,2021-07-01,Tax
birt,2022,9730672.0,jul,7,1,2021,2021-07-01,Tax
sales,2022,31455553.0,jul,7,1,2021,2021-07-01,Tax
tobacco,2022,5619.0,jul,7,1,2021,2021-07-01,Tax
parking,2022,6594577.0,jul,7,1,2021,2021-07-01,Tax
real_estate_transfer,2022,14171981.0,jul,7,1,2021,2021-07-01,Tax
soda,2022,7056521.0,jul,7,1,2021,2021-07-01,Tax
net_profits_city,2021,4955281.0,jun,6,12,2021,2021-06-01,Tax
wage,2021,155841518.0,jun,6,12,2021,2021-06-01,Tax
earnings,2021,4564955.0,jun,6,12,2021,2021-06-01,Tax
earnings_pica,2021,1483579.0,jun,6,12,2021,2021-06-01,Tax
earnings_city,2021,3081376.0,jun,6,12,2021,2021-06-01,Tax
soda,2021,6277502.0,jun,6,12,2021,2021-06-01,Tax
wage_pica,2021,37201884.0,jun,6,12,2021,2021-06-01,Tax
wage_city,2021,118639635.0,jun,6,12,2021,2021-06-01,Tax
real_estate,2021,11298452.0,jun,6,12,2021,2021-06-01,Tax
net_profits,2021,10112543.0,jun,6,12,2021,2021-06-01,Tax
net_profits_pica,2021,5157261.0,jun,6,12,2021,2021-06-01,Tax
all_taxes,2021,233493651.0,jun,6,12,2021,2021-06-01,Tax
