sector,num_accounts,net_income,gross_receipts,total,tax_year,parent_sector
Real Estate,33832.0,35075767.0,6874517.0,41950284.0,2011,
Transportation and Storage,985.0,3008571.0,1036036.0,4044607.0,2011,
Construction,7013.0,11611108.0,7769584.0,19380692.0,2011,
Manufacturing,2589.0,11880974.0,5789602.0,17670576.0,2011,
Food and Beverage Products,364.0,1288648.0,1270491.0,2559139.0,2011,Manufacturing
"Chemicals, Pharmaceuticals & Petroleum",234.0,5034025.0,1734655.0,6768680.0,2011,Manufacturing
Other Manufacturing,1991.0,5558301.0,2784456.0,8342757.0,2011,Manufacturing
Wholesale Trade,3009.0,11633246.0,10728713.0,22361959.0,2011,
Retail Trade,8519.0,17434586.0,15798360.0,33232946.0,2011,
Insurance,628.0,7942111.0,5705816.0,13647927.0,2011,
Information,1036.0,10098330.0,3567184.0,13665514.0,2011,
Broadcasting (TV and Radio),47.0,2436535.0,442705.0,2879240.0,2011,Information
Telecommunications,194.0,5067839.0,2015091.0,7082930.0,2011,Information
Other Information,568.0,802385.0,666794.0,1469179.0,2011,Information
Banking and Related Activities,317.0,1811544.0,932587.0,2744131.0,2011,
Financial Investment Services,440.0,8952072.0,6282293.0,15234365.0,2011,
Publishing,227.0,1791571.0,442594.0,2234165.0,2011,Information
Educational Services,874.0,2044802.0,571751.0,2616553.0,2010,
"Accounting, Tax and Payroll Services",869.0,11258001.0,1001924.0,12259925.0,2010,Professional Services
Architect and Engineering,961.0,2553551.0,1123271.0,3676822.0,2010,Professional Services
Computer Services,798.0,1798465.0,993226.0,2791691.0,2010,Professional Services
Management and Technical Consulting,2427.0,6656077.0,1667431.0,8323508.0,2010,Professional Services
Advertising,363.0,1287375.0,478151.0,1765526.0,2010,Professional Services
Other Professional Services,1812.0,3675144.0,727401.0,4402545.0,2010,Professional Services
Business Support Services,3423.0,5350693.0,2913980.0,8264673.0,2010,
Hotels and Other Accommodations,157.0,977550.0,1015833.0,1993383.0,2010,
Health and Social Services,5563.0,16891720.0,6014356.0,22906076.0,2010,
Sports,43.0,375091.0,936904.0,1311995.0,2010,
"Restaurants, Bars, and Other Food Services",4538.0,5849596.0,3379509.0,9229105.0,2010,
Other Personal Services,5582.0,5770662.0,1511276.0,7281938.0,2010,
All Other Sectors,2843.0,4088523.0,1976645.0,6065168.0,2010,
Unclassified,13085.0,5779885.0,836903.0,6616788.0,2010,
Professional Services,10085.0,85295372.0,10689640.0,95985012.0,2010,
Legal Services,2855.0,58066759.0,4698236.0,62764995.0,2010,Professional Services
Real Estate,32691.0,40576746.0,6785104.0,47361850.0,2010,
Construction,7010.0,16078745.0,8255682.0,24334427.0,2010,
Transportation and Storage,994.0,3502793.0,875380.0,4378173.0,2010,
Insurance,629.0,4815282.0,5866472.0,10681754.0,2010,
Manufacturing,2610.0,12899445.0,5760379.0,18659824.0,2010,
Food and Beverage Products,383.0,1342672.0,1285366.0,2628038.0,2010,Manufacturing
"Chemicals, Pharmaceuticals & Petroleum",224.0,6491765.0,1585049.0,8076814.0,2010,Manufacturing
Other Manufacturing,2003.0,5065008.0,2889964.0,7954972.0,2010,Manufacturing
Retail Trade,8427.0,14975667.0,13588028.0,28563695.0,2010,
Wholesale Trade,3032.0,10169665.0,9978066.0,20147731.0,2010,
Information,1035.0,9856211.0,3352862.0,13209073.0,2010,
