category,fiscal_month,amount,fiscal_year,quarter,month
Receipts - Disbursements,11,-115.2,2022,3,5
Opening Balance,11,1498.9,2022,3,5
TRAN,11,0.0,2022,3,5
Closing Balance,11,1383.7,2022,3,5
Receipts - Disbursements,12,-303.4,2022,3,6
Opening Balance,12,1383.7,2022,3,6
TRAN,12,0.0,2022,3,6
Closing Balance,12,1080.3,2022,3,6
Receipts - Disbursements,1,-273.9,2022,2,7
Opening Balance,1,981.3,2022,2,7
TRAN,1,0.0,2022,2,7
Closing Balance,1,707.4,2022,2,7
Receipts - Disbursements,2,125.9,2022,2,8
Opening Balance,2,707.4,2022,2,8
TRAN,2,0.0,2022,2,8
Closing Balance,2,833.3,2022,2,8
Receipts - Disbursements,3,-40.4,2022,2,9
Opening Balance,3,833.3,2022,2,9
TRAN,3,0.0,2022,2,9
Closing Balance,3,792.9,2022,2,9
Receipts - Disbursements,4,-163.6,2022,2,10
Opening Balance,4,792.9,2022,2,10
TRAN,4,0.0,2022,2,10
Closing Balance,4,629.4,2022,2,10
Receipts - Disbursements,5,-105.8,2022,2,11
Opening Balance,5,629.4,2022,2,11
TRAN,5,0.0,2022,2,11
Closing Balance,5,523.6,2022,2,11
Receipts - Disbursements,6,141.3,2022,2,12
Opening Balance,6,523.6,2022,2,12
TRAN,6,0.0,2022,2,12
Closing Balance,6,664.9,2022,2,12
Receipts - Disbursements,7,133.7,2022,2,1
Opening Balance,7,664.9,2022,2,1
TRAN,7,0.0,2022,2,1
Closing Balance,7,798.6,2022,2,1
Receipts - Disbursements,8,229.2,2022,2,2
Opening Balance,8,798.6,2022,2,2
TRAN,8,0.0,2022,2,2
Closing Balance,8,1027.9,2022,2,2
Receipts - Disbursements,9,-272.7,2022,2,3
Opening Balance,9,1027.9,2022,2,3
TRAN,9,0.0,2022,2,3
Closing Balance,9,755.1,2022,2,3
Receipts - Disbursements,10,303.7,2022,2,4
Opening Balance,10,755.1,2022,2,4
TRAN,10,0.0,2022,2,4
Closing Balance,10,1058.8,2022,2,4
Receipts - Disbursements,11,-39.0,2022,2,5
Opening Balance,11,1058.8,2022,2,5
TRAN,11,0.0,2022,2,5
Closing Balance,11,1019.8,2022,2,5
Receipts - Disbursements,12,-131.5,2022,2,6
Opening Balance,12,1019.8,2022,2,6
TRAN,12,0.0,2022,2,6
Closing Balance,12,888.3,2022,2,6
Receipts - Disbursements,1,-273.9,2022,1,7
Opening Balance,1,981.3,2022,1,7
TRAN,1,0.0,2022,1,7
Closing Balance,1,707.4,2022,1,7
Receipts - Disbursements,2,125.9,2022,1,8
Opening Balance,2,707.4,2022,1,8
TRAN,2,0.0,2022,1,8
Closing Balance,2,833.3,2022,1,8
Receipts - Disbursements,3,-40.4,2022,1,9
Opening Balance,3,833.3,2022,1,9
TRAN,3,0.0,2022,1,9
Closing Balance,3,792.9,2022,1,9
Receipts - Disbursements,4,-196.3,2022,1,10
Opening Balance,4,792.9,2022,1,10
TRAN,4,0.0,2022,1,10
Closing Balance,4,596.7,2022,1,10
Receipts - Disbursements,5,-75.1,2022,1,11
Opening Balance,5,596.7,2022,1,11
TRAN,5,0.0,2022,1,11
Closing Balance,5,521.6,2022,1,11
Receipts - Disbursements,6,-111.3,2022,1,12
Opening Balance,6,521.6,2022,1,12
TRAN,6,0.0,2022,1,12
Closing Balance,6,410.3,2022,1,12
Receipts - Disbursements,7,-0.9,2022,1,1
Opening Balance,7,410.3,2022,1,1
TRAN,7,0.0,2022,1,1
Closing Balance,7,409.4,2022,1,1
Receipts - Disbursements,8,218.9,2022,1,2
Opening Balance,8,409.4,2022,1,2
TRAN,8,0.0,2022,1,2
Closing Balance,8,628.3,2022,1,2
Receipts - Disbursements,9,-237.5,2022,1,3
Opening Balance,9,628.3,2022,1,3
TRAN,9,0.0,2022,1,3
Closing Balance,9,390.7,2022,1,3
Receipts - Disbursements,10,369.5,2022,1,4
Opening Balance,10,390.7,2022,1,4
TRAN,10,0.0,2022,1,4
Closing Balance,10,760.3,2022,1,4
Receipts - Disbursements,11,34.4,2022,1,5
Opening Balance,11,760.3,2022,1,5
TRAN,11,0.0,2022,1,5
Closing Balance,11,794.7,2022,1,5
