name,kind,fiscal_year,total,month_name,month,fiscal_month,year,date
earnings,total,2022,652478.0,nov,11,5,2021,2021-11-01
net_profits_city,current,2022,625497.0,nov,11,5,2021,2021-11-01
soda,total,2022,4753218.0,nov,11,5,2021,2021-11-01
net_profits_pica,prior,2022,116900.0,nov,11,5,2021,2021-11-01
all_taxes,total,2022,194546942.0,oct,10,4,2021,2021-10-01
wage_pica,total,2022,37771713.0,oct,10,4,2021,2021-10-01
earnings,total,2022,752307.0,oct,10,4,2021,2021-10-01
earnings_pica,total,2022,265836.0,oct,10,4,2021,2021-10-01
earnings_pica,prior,2022,136321.0,oct,10,4,2021,2021-10-01
earnings_pica,current,2022,129515.0,oct,10,4,2021,2021-10-01
earnings_city,total,2022,486471.0,oct,10,4,2021,2021-10-01
earnings_city,prior,2022,249463.0,oct,10,4,2021,2021-10-01
earnings_city,current,2022,237007.0,oct,10,4,2021,2021-10-01
wage,total,2022,156185527.0,oct,10,4,2021,2021-10-01
wage_pica,prior,2022,-366461.0,oct,10,4,2021,2021-10-01
net_profits_city,prior,2022,938434.0,oct,10,4,2021,2021-10-01
wage_pica,current,2022,38138174.0,oct,10,4,2021,2021-10-01
wage_city,total,2022,118413814.0,oct,10,4,2021,2021-10-01
wage_city,prior,2022,-1148851.0,oct,10,4,2021,2021-10-01
wage_city,current,2022,119562666.0,oct,10,4,2021,2021-10-01
real_estate,total,2022,3922560.0,oct,10,4,2021,2021-10-01
real_estate,prior,2022,1209630.0,oct,10,4,2021,2021-10-01
real_estate,current,2022,2712931.0,oct,10,4,2021,2021-10-01
other_taxes,total,2022,2365.0,oct,10,4,2021,2021-10-01
net_profits_city,current,2022,234888.0,oct,10,4,2021,2021-10-01
net_profits_pica,current,2022,209723.0,oct,10,4,2021,2021-10-01
net_profits_city,total,2022,1173323.0,oct,10,4,2021,2021-10-01
sales,total,2022,15253752.0,oct,10,4,2021,2021-10-01
soda,total,2022,8151477.0,oct,10,4,2021,2021-10-01
soda,prior,2022,105623.0,oct,10,4,2021,2021-10-01
soda,current,2022,8045854.0,oct,10,4,2021,2021-10-01
outdoor_ads,total,2022,272223.0,oct,10,4,2021,2021-10-01
real_estate_transfer,total,2022,17175476.0,oct,10,4,2021,2021-10-01
parking,total,2022,6536147.0,oct,10,4,2021,2021-10-01
tobacco,total,2022,1387.0,oct,10,4,2021,2021-10-01
amusement,total,2022,1924747.0,oct,10,4,2021,2021-10-01
valet,total,2022,127992.0,oct,10,4,2021,2021-10-01
birt,total,2022,21105208.0,oct,10,4,2021,2021-10-01
wage_earnings_net_profits,total,2022,159158774.0,oct,10,4,2021,2021-10-01
birt,prior,2022,-1635394.0,oct,10,4,2021,2021-10-01
net_profits_pica,total,2022,1047617.0,oct,10,4,2021,2021-10-01
net_profits,total,2022,2220940.0,oct,10,4,2021,2021-10-01
net_profits_pica,prior,2022,837894.0,oct,10,4,2021,2021-10-01
wage_earnings_net_profits_pica,total,2022,39085166.0,oct,10,4,2021,2021-10-01
wage_earnings_net_profits_city,total,2022,120073608.0,oct,10,4,2021,2021-10-01
birt,current,2022,22740602.0,oct,10,4,2021,2021-10-01
tobacco,total,2022,228.0,sep,9,3,2021,2021-09-01
wage_earnings_net_profits,total,2022,162335857.0,sep,9,3,2021,2021-09-01
wage_earnings_net_profits_pica,total,2022,41687508.0,sep,9,3,2021,2021-09-01
birt,current,2022,29122822.0,sep,9,3,2021,2021-09-01
birt,prior,2022,2853329.0,sep,9,3,2021,2021-09-01
birt,total,2022,31976151.0,sep,9,3,2021,2021-09-01
sales,total,2022,16317889.0,sep,9,3,2021,2021-09-01
amusement,total,2022,2230208.0,sep,9,3,2021,2021-09-01
net_profits,total,2022,3813386.0,sep,9,3,2021,2021-09-01
all_taxes,total,2022,213644430.0,sep,9,3,2021,2021-09-01
parking,total,2022,6893701.0,sep,9,3,2021,2021-09-01
valet,total,2022,153598.0,sep,9,3,2021,2021-09-01
real_estate_transfer,total,2022,23237147.0,sep,9,3,2021,2021-09-01
outdoor_ads,total,2022,321778.0,sep,9,3,2021,2021-09-01
soda,current,2022,6581354.0,sep,9,3,2021,2021-09-01
soda,prior,2022,1853.0,sep,9,3,2021,2021-09-01
soda,total,2022,6583207.0,sep,9,3,2021,2021-09-01
other_taxes,total,2022,15900.0,sep,9,3,2021,2021-09-01
net_profits_pica,prior,2022,1342972.0,sep,9,3,2021,2021-09-01
net_profits_pica,total,2022,1798774.0,sep,9,3,2021,2021-09-01
earnings_city,prior,2022,345824.0,sep,9,3,2021,2021-09-01
net_profits_pica,current,2022,455802.0,sep,9,3,2021,2021-09-01
net_profits_city,total,2022,2014611.0,sep,9,3,2021,2021-09-01
real_estate,prior,2022,1633625.0,sep,9,3,2021,2021-09-01
real_estate,total,2022,5266274.0,sep,9,3,2021,2021-09-01
wage_city,current,2022,121900261.0,sep,9,3,2021,2021-09-01
wage_city,prior,2022,-3702162.0,sep,9,3,2021,2021-09-01
wage_city,total,2022,118198099.0,sep,9,3,2021,2021-09-01
wage_pica,current,2022,39650676.0,sep,9,3,2021,2021-09-01
wage_pica,prior,2022,0.0,sep,9,3,2021,2021-09-01
wage_pica,total,2022,39650676.0,sep,9,3,2021,2021-09-01
wage,total,2022,157848775.0,sep,9,3,2021,2021-09-01
earnings_city,current,2022,89814.0,sep,9,3,2021,2021-09-01
earnings_city,total,2022,435639.0,sep,9,3,2021,2021-09-01
earnings_pica,current,2022,49080.0,sep,9,3,2021,2021-09-01
earnings_pica,prior,2022,188979.0,sep,9,3,2021,2021-09-01
earnings_pica,total,2022,238058.0,sep,9,3,2021,2021-09-01
earnings,total,2022,673697.0,sep,9,3,2021,2021-09-01
net_profits_city,current,2022,510494.0,sep,9,3,2021,2021-09-01
net_profits_city,prior,2022,1504118.0,sep,9,3,2021,2021-09-01
real_estate,current,2022,3632648.0,sep,9,3,2021,2021-09-01
wage_earnings_net_profits_city,total,2022,120648349.0,sep,9,3,2021,2021-09-01
real_estate,prior,2022,2612261.0,aug,8,2,2021,2021-08-01
tobacco,total,2022,245.0,aug,8,2,2021,2021-08-01
wage_earnings_net_profits,total,2022,178806777.0,aug,8,2,2021,2021-08-01
wage_earnings_net_profits_pica,total,2022,46772815.0,aug,8,2,2021,2021-08-01
wage_earnings_net_profits_city,total,2022,132033963.0,aug,8,2,2021,2021-08-01
birt,current,2022,5191563.0,aug,8,2,2021,2021-08-01
birt,prior,2022,2679336.0,aug,8,2,2021,2021-08-01
birt,total,2022,7870899.0,aug,8,2,2021,2021-08-01
sales,total,2022,34486394.0,aug,8,2,2021,2021-08-01
amusement,total,2022,5429130.0,aug,8,2,2021,2021-08-01
parking,total,2022,6518161.0,aug,8,2,2021,2021-08-01
net_profits_pica,total,2022,798561.0,aug,8,2,2021,2021-08-01
valet,total,2022,159681.0,aug,8,2,2021,2021-08-01
real_estate_transfer,total,2022,25224360.0,aug,8,2,2021,2021-08-01
outdoor_ads,total,2022,211593.0,aug,8,2,2021,2021-08-01
soda,current,2022,6818844.0,aug,8,2,2021,2021-08-01
soda,prior,2022,4215.0,aug,8,2,2021,2021-08-01
soda,total,2022,6823060.0,aug,8,2,2021,2021-08-01
other_taxes,total,2022,0.0,aug,8,2,2021,2021-08-01
real_estate,current,2022,4898358.0,aug,8,2,2021,2021-08-01
net_profits,total,2022,1675095.0,aug,8,2,2021,2021-08-01
all_taxes,total,2022,226268104.0,aug,8,2,2021,2021-08-01
net_profits_pica,prior,2022,687750.0,aug,8,2,2021,2021-08-01
earnings_city,prior,2022,387767.0,aug,8,2,2021,2021-08-01
real_estate,total,2022,7510618.0,aug,8,2,2021,2021-08-01
wage_city,current,2022,142415956.0,aug,8,2,2021,2021-08-01
wage_city,prior,2022,-11871341.0,aug,8,2,2021,2021-08-01
wage_city,total,2022,130544615.0,aug,8,2,2021,2021-08-01
wage_pica,current,2022,45638131.0,aug,8,2,2021,2021-08-01
wage_pica,total,2022,45638131.0,aug,8,2,2021,2021-08-01
wage,total,2022,176182746.0,aug,8,2,2021,2021-08-01
earnings_city,current,2022,225046.0,aug,8,2,2021,2021-08-01
wage_pica,prior,2022,0.0,aug,8,2,2021,2021-08-01
earnings_city,total,2022,612813.0,aug,8,2,2021,2021-08-01
net_profits_city,current,2022,108363.0,aug,8,2,2021,2021-08-01
earnings_pica,current,2022,123405.0,aug,8,2,2021,2021-08-01
net_profits_city,total,2022,876534.0,aug,8,2,2021,2021-08-01
net_profits_city,prior,2022,768172.0,aug,8,2,2021,2021-08-01
net_profits_pica,current,2022,110810.0,aug,8,2,2021,2021-08-01
earnings,total,2022,948937.0,aug,8,2,2021,2021-08-01
earnings_pica,total,2022,336123.0,aug,8,2,2021,2021-08-01
earnings_pica,prior,2022,212718.0,aug,8,2,2021,2021-08-01
amusement,total,2022,976200.0,jul,7,1,2021,2021-07-01
wage_earnings_net_profits,total,2022,130753172.0,jul,7,1,2021,2021-07-01
wage_earnings_net_profits_pica,total,2022,37191153.0,jul,7,1,2021,2021-07-01
wage_earnings_net_profits_city,total,2022,93562019.0,jul,7,1,2021,2021-07-01
birt,current,2022,8076815.0,jul,7,1,2021,2021-07-01
birt,prior,2022,1653857.0,jul,7,1,2021,2021-07-01
birt,total,2022,9730672.0,jul,7,1,2021,2021-07-01
sales,total,2022,31455553.0,jul,7,1,2021,2021-07-01
net_profits,total,2022,1568224.0,jul,7,1,2021,2021-07-01
other_taxes,total,2022,0.0,jul,7,1,2021,2021-07-01
tobacco,total,2022,5619.0,jul,7,1,2021,2021-07-01
parking,total,2022,6594577.0,jul,7,1,2021,2021-07-01
valet,total,2022,120312.0,jul,7,1,2021,2021-07-01
real_estate_transfer,total,2022,14171981.0,jul,7,1,2021,2021-07-01
outdoor_ads,total,2022,270980.0,jul,7,1,2021,2021-07-01
soda,current,2022,7046885.0,jul,7,1,2021,2021-07-01
soda,prior,2022,9636.0,jul,7,1,2021,2021-07-01
soda,total,2022,7056521.0,jul,7,1,2021,2021-07-01
net_profits_pica,prior,2022,583596.0,jul,7,1,2021,2021-07-01
net_profits_pica,total,2022,744800.0,jul,7,1,2021,2021-07-01
earnings_city,prior,2022,356443.0,jul,7,1,2021,2021-07-01
net_profits_pica,current,2022,161204.0,jul,7,1,2021,2021-07-01
net_profits_city,total,2022,823424.0,jul,7,1,2021,2021-07-01
real_estate,current,2022,5280943.0,jul,7,1,2021,2021-07-01
real_estate,prior,2022,1917365.0,jul,7,1,2021,2021-07-01
real_estate,total,2022,7198308.0,jul,7,1,2021,2021-07-01
wage_city,current,2022,112524049.0,jul,7,1,2021,2021-07-01
wage_city,prior,2022,-20418893.0,jul,7,1,2021,2021-07-01
wage_city,total,2022,92105156.0,jul,7,1,2021,2021-07-01
wage_pica,current,2022,36098031.0,jul,7,1,2021,2021-07-01
wage_pica,total,2022,36098031.0,jul,7,1,2021,2021-07-01
wage,total,2022,128203188.0,jul,7,1,2021,2021-07-01
earnings_city,current,2022,276995.0,jul,7,1,2021,2021-07-01
earnings_city,total,2022,633439.0,jul,7,1,2021,2021-07-01
earnings_pica,current,2022,153396.0,jul,7,1,2021,2021-07-01
earnings_pica,prior,2022,194925.0,jul,7,1,2021,2021-07-01
earnings_pica,total,2022,348322.0,jul,7,1,2021,2021-07-01
earnings,total,2022,981760.0,jul,7,1,2021,2021-07-01
net_profits_city,current,2022,170094.0,jul,7,1,2021,2021-07-01
net_profits_city,prior,2022,653330.0,jul,7,1,2021,2021-07-01
all_taxes,total,2022,171142741.0,jul,7,1,2021,2021-07-01
wage_pica,prior,2022,0.0,jul,7,1,2021,2021-07-01
wage_pica,current,2021,37201884.0,jun,6,12,2021,2021-06-01
earnings_city,prior,2021,1287925.0,jun,6,12,2021,2021-06-01
net_profits_pica,prior,2021,0.0,jun,6,12,2021,2021-06-01
